FIPS,CASE_TYPE,ATTORNEY_TYPE,FILE_DATE,OFFENSE_CLASS_CODE,FINAL_DISP_DATE
9,F,N,12/14/10,O,2/17/11
13,F,N,10/21/10,O,8/31/11
13,F,N,12/21/10,5,2/15/11
13,F,N,1/31/11,U,2/3/11
13,F,N,3/31/11,U,4/7/11
13,F,N,4/4/11,U,4/15/11
13,F,N,4/4/11,U,4/4/11
13,F,N,4/4/11,U,4/4/11
13,F,N,4/11/11,O,4/13/11
13,F,N,6/30/11,O,9/28/11
13,F,N,8/3/11,O,8/5/11
13,F,N,8/9/11,U,9/22/11
13,F,N,9/7/11,U,9/8/11
13,F,N,9/8/11,U,9/8/11
13,F,N,10/25/11,O,12/21/11
13,F,N,12/2/11,U,12/2/11
33,F,N,11/1/05,6,12/16/11
33,F,N,6/7/11,O,6/8/11
41,F,N,4/11/11,U,6/23/11
41,F,N,7/26/11,6,9/29/11
47,F,N,1/13/11,6,3/7/11
47,F,N,3/15/11,O,4/27/11
47,F,N,6/29/11,O,8/17/11
53,F,N,9/27/11,U,10/27/11
53,F,N,12/1/11,U,12/15/11
59,F,N,2/22/11,O,5/11/11
61,F,N,1/31/11,6,3/7/11
61,F,N,5/17/11,5,10/17/11
61,F,N,5/17/11,5,10/17/11
61,F,N,6/6/11,O,10/20/11
61,F,N,9/29/11,5,11/10/11
61,F,N,10/26/11,5,12/15/11
63,F,N,7/1/11,O,7/14/11
63,F,N,11/22/11,O,12/8/11
63,F,N,11/22/11,O,12/8/11
69,F,N,2/14/11,U,2/14/11
69,F,N,4/8/11,U,4/8/11
69,F,N,4/8/11,U,4/8/11
69,F,N,8/1/11,5,10/21/11
69,F,N,8/1/11,5,10/21/11
69,F,N,8/4/11,O,10/21/11
69,F,N,8/11/11,O,10/21/11
69,F,N,8/31/11,O,10/21/11
69,F,N,9/8/11,O,10/21/11
69,F,N,9/8/11,U,9/8/11
69,F,N,10/13/11,6,11/28/11
71,F,N,10/12/11,O,10/25/11
