FIPS,CASE_TYPE,ATTORNEY_TYPE,FILE_DATE,OFFENSE_CLASS_CODE,FINAL_DISP_DATE
7,F,N,11/26/12,O,1/15/13
13,F,N,2/6/06,O,6/5/13
13,F,N,3/1/13,O,6/3/13
13,F,N,5/23/13,U,5/30/13
13,F,N,6/21/13,3,8/28/13
13,F,N,8/12/13,U,8/30/13
13,F,N,9/3/13,5,11/14/13
13,F,N,10/7/13,5,10/9/13
13,F,N,10/18/13,O,12/2/13
13,F,N,10/21/13,O,12/16/13
13,F,N,10/30/13,5,10/30/13
13,F,N,11/15/13,U,11/22/13
13,F,N,11/21/13,U,11/22/13
13,F,N,12/16/13,U,12/23/13
13,F,N,12/17/13,U,12/27/13
33,F,N,1/30/13,U,3/8/13
35,F,N,1/24/13,O,3/15/13
36,F,N,7/15/13,6,7/17/13
36,F,N,8/7/13,5,8/7/13
36,F,N,10/10/13,O,10/16/13
37,F,N,5/2/13,6,5/2/13
41,F,N,9/11/13,6,12/17/13
41,F,N,10/15/13,6,12/2/13
41,F,N,10/31/13,O,11/20/13
41,F,N,10/31/13,5,11/20/13
41,F,N,11/26/13,6,12/11/13
47,F,N,10/29/12,5,3/20/13
47,F,N,11/26/12,3,1/7/13
47,F,N,12/19/12,O,2/11/13
49,F,N,10/22/12,6,7/11/13
49,F,N,2/11/13,O,7/25/13
61,F,N,11/30/12,O,1/2/13
61,F,N,12/10/12,O,1/23/13
61,F,N,2/19/13,U,2/20/13
61,F,N,2/22/13,6,4/10/13
61,F,N,4/5/13,4,6/5/13
61,F,N,6/18/13,5,10/9/13
61,F,N,6/24/13,O,11/13/13
61,F,N,7/8/13,5,12/11/13
63,F,N,6/3/13,6,6/13/13
69,F,N,12/28/12,U,2/26/13
69,F,N,4/5/13,O,4/15/13
75,F,N,8/5/13,O,8/5/13
77,F,N,9/3/13,5,10/21/13
79,F,N,9/23/13,6,11/13/13
81,F,N,12/3/12,U,1/2/13
83,F,N,6/4/13,6,8/12/13
85,F,N,9/18/12,6,4/30/13
85,F,N,11/26/13,U,12/3/13
85,F,N,11/26/13,U,12/3/13
85,F,N,11/26/13,U,12/3/13
85,F,N,11/26/13,U,12/3/13
85,F,N,11/26/13,U,12/3/13
85,F,N,11/26/13,U,12/3/13
85,F,N,12/2/13,5,12/5/13
85,F,N,12/2/13,U,12/5/13
85,F,N,12/2/13,U,12/5/13
85,F,N,12/2/13,U,12/5/13
85,F,N,12/2/13,5,12/5/13
85,F,N,12/2/13,U,12/5/13
85,F,N,12/2/13,U,12/5/13
85,F,N,12/2/13,5,12/5/13
85,F,N,12/2/13,5,12/5/13
85,F,N,12/2/13,U,12/5/13
85,F,N,12/2/13,U,12/5/13
85,F,N,12/2/13,5,12/5/13
85,F,N,12/2/13,U,12/5/13
85,F,N,12/2/13,U,12/5/13
87,F,N,1/28/13,6,2/26/13
87,F,N,2/19/13,O,2/19/13
87,F,N,2/19/13,O,2/19/13
87,F,N,2/26/13,U,2/26/13
87,F,N,4/18/13,5,5/13/13
87,F,N,5/13/13,6,5/13/13
87,F,N,5/17/13,6,5/17/13
87,F,N,5/29/13,6,6/26/13
87,F,N,5/31/13,O,5/31/13
87,F,N,6/24/13,5,8/1/13
87,F,N,6/28/13,5,9/5/13
87,F,N,7/3/13,O,7/3/13
87,F,N,7/18/13,6,7/30/13
87,F,N,9/11/13,O,9/11/13
87,F,N,10/1/13,O,11/21/13
87,F,N,12/16/13,O,12/17/13
87,F,N,12/23/13,O,12/23/13
87,F,N,12/23/13,O,12/23/13
87,F,N,12/23/13,5,12/23/13
87,F,N,12/23/13,5,12/23/13
87,F,N,12/23/13,5,12/23/13
87,F,N,12/30/13,6,12/30/13
87,F,N,1/7/14,6,11/14/13
93,F,N,6/7/13,O,8/8/13
93,F,N,6/7/13,5,8/8/13
93,F,N,8/14/13,U,8/14/13
93,F,N,9/19/13,O,12/19/13
93,F,N,11/18/13,5,12/19/13
97,F,N,5/28/13,6,8/16/13
97,F,N,11/14/13,U,11/14/13
101,F,N,11/25/13,U,12/5/13
105,F,N,1/29/13,6,2/20/13
105,F,N,5/6/13,O,5/8/13
105,F,N,5/23/13,6,7/22/13
105,F,N,7/2/13,U,11/13/13
105,F,N,9/23/13,6,12/4/13
105,F,N,9/23/13,6,12/4/13
105,F,N,10/25/13,U,10/28/13
107,F,N,1/7/13,U,1/24/13
107,F,N,1/11/13,U,1/25/13
107,F,N,1/14/13,U,1/14/13
107,F,N,1/14/13,U,1/14/13
107,F,N,2/11/13,U,2/13/13
107,F,N,2/11/13,U,2/20/13
107,F,N,4/15/13,U,4/15/13
107,F,N,4/18/13,6,4/26/13
107,F,N,8/12/13,U,8/22/13
107,F,N,9/9/13,U,9/26/13
107,F,N,11/27/13,U,11/27/13
117,F,N,2/4/13,O,3/5/13
117,F,N,2/4/13,O,3/5/13
117,F,N,11/13/13,U,11/19/13
119,F,N,11/21/12,6,3/15/13
119,F,N,11/21/12,6,3/15/13
119,F,N,4/25/13,U,7/1/13
119,F,N,4/29/13,5,7/15/13
121,F,N,3/18/13,U,3/18/13
121,F,N,7/25/13,5,7/25/13
121,F,N,8/1/13,6,8/1/13
121,F,N,8/6/13,O,8/16/13
121,F,N,8/6/13,O,8/16/13
127,F,N,1/22/13,6,2/5/13
127,F,N,11/4/13,6,12/17/13
133,F,N,10/28/13,6,10/28/13
135,F,N,3/7/13,6,3/13/13
135,F,N,3/21/13,6,4/3/13
135,F,N,5/28/13,U,5/29/13
135,F,N,7/19/13,6,9/25/13
135,F,N,11/18/13,6,11/20/13
137,F,N,1/9/13,O,3/1/13
137,F,N,4/1/13,6,5/22/13
137,F,N,5/28/13,6,6/5/13
137,F,N,10/21/13,O,10/23/13
139,F,N,7/11/13,U,8/1/13
139,F,N,10/31/13,6,10/31/13
147,F,N,5/15/13,O,8/12/13
147,F,N,5/16/13,U,7/15/13
147,F,N,9/27/13,6,10/29/13
147,F,N,10/29/13,5,10/29/13
149,F,N,4/2/01,U,1/14/13
149,F,N,2/21/13,U,3/11/13
149,F,N,6/3/13,U,6/3/13
149,F,N,12/13/13,U,12/16/13
153,F,N,12/8/08,O,12/2/13
153,F,N,6/11/12,5,8/26/13
153,F,N,8/21/12,O,3/4/13
153,F,N,8/22/12,6,2/8/13
153,F,N,11/29/12,O,1/11/13
153,F,N,12/10/12,6,1/3/13
153,F,N,12/12/12,6,1/15/13
153,F,N,1/22/13,5,4/2/13
153,F,N,2/12/13,6,3/4/13
153,F,N,2/13/13,O,5/15/13
153,F,N,2/13/13,O,5/15/13
153,F,N,2/27/13,4,3/1/13
153,F,N,3/18/13,6,4/11/13
153,F,N,3/26/13,5,6/14/13
153,F,N,4/1/13,O,6/3/13
153,F,N,4/4/13,O,6/12/13
153,F,N,4/17/13,O,5/31/13
153,F,N,5/7/13,5,6/14/13
153,F,N,5/13/13,O,7/26/13
153,F,N,6/17/13,U,7/16/13
153,F,N,6/18/13,6,7/18/13
153,F,N,7/8/13,U,7/25/13
153,F,N,7/18/13,5,8/28/13
153,F,N,7/18/13,O,10/21/13
153,F,N,7/22/13,O,8/28/13
153,F,N,7/23/13,U,8/23/13
153,F,N,8/2/13,6,9/23/13
153,F,N,8/5/13,6,10/22/13
153,F,N,8/9/13,6,10/4/13
153,F,N,8/15/13,O,9/24/13
153,F,N,9/3/13,O,12/16/13
153,F,N,9/10/13,U,9/10/13
153,F,N,9/19/13,U,11/7/13
153,F,N,10/3/13,6,10/23/13
153,F,N,10/21/13,U,10/31/13
153,F,N,10/24/13,O,12/16/13
153,F,N,10/24/13,O,12/18/13
153,F,N,11/21/13,6,12/17/13
153,F,N,11/26/13,O,12/16/13
161,F,N,7/30/13,6,8/1/13
163,F,N,4/12/13,U,4/12/13
165,F,N,3/27/13,6,5/22/13
165,F,N,4/4/13,6,11/27/13
165,F,N,4/4/13,6,11/27/13
