FIPS,CASE_TYPE,ATTORNEY_TYPE,FILE_DATE,OFFENSE_CLASS_CODE,FINAL_DISP_DATE
13,F,N,2/22/10,O,2/15/12
13,F,N,1/3/12,4,1/3/12
13,F,N,1/3/12,U,1/3/12
13,F,N,2/21/12,U,2/21/12
13,F,N,3/19/12,O,4/24/12
13,F,N,3/19/12,5,4/24/12
13,F,N,3/19/12,U,3/19/12
13,F,N,3/19/12,U,3/19/12
13,F,N,4/23/12,U,4/23/12
13,F,N,5/18/12,O,5/18/12
13,F,N,9/11/12,U,9/11/12
13,F,N,9/12/12,U,9/12/12
37,F,N,4/20/12,6,6/28/12
47,F,N,2/29/12,O,4/16/12
47,F,N,6/5/12,5,8/8/12
47,F,N,11/26/12,O,12/3/12
49,F,N,12/20/11,6,9/6/12
53,F,N,11/15/11,U,1/23/12
53,F,N,1/10/12,U,2/13/12
59,F,N,8/16/12,O,12/18/12
61,F,N,11/7/11,O,2/3/12
61,F,N,12/15/11,O,2/24/12
61,F,N,8/13/12,5,10/26/12
61,F,N,9/27/12,6,11/2/12
61,F,N,10/15/12,U,11/16/12
65,F,N,10/19/11,O,1/10/12
71,F,N,2/9/12,U,2/10/12
71,F,N,2/16/12,O,2/28/12
71,F,N,2/16/12,O,2/28/12
71,F,N,5/21/12,U,5/22/12
71,F,N,9/17/12,U,9/17/12
77,F,N,8/15/12,U,10/22/12
79,F,N,11/5/12,O,12/12/12
83,F,N,8/15/12,O,9/21/12
85,F,N,8/13/12,U,8/15/12
87,F,N,2/21/12,5,8/21/12
87,F,N,4/22/94,U,5/4/12
87,F,N,8/15/94,,5/4/12
89,F,N,5/7/12,6,7/23/12
93,F,N,12/19/11,O,3/15/12
93,F,N,6/15/12,O,7/12/12
93,F,N,10/9/12,6,11/15/12
101,F,N,5/14/12,6,5/24/12
105,F,N,3/16/12,6,3/26/12
105,F,N,3/23/12,U,3/26/12
105,F,N,5/14/12,6,5/14/12
105,F,N,6/12/12,6,6/13/12
105,F,N,6/26/12,5,6/27/12
105,F,N,7/30/12,6,9/5/12
105,F,N,8/9/12,O,8/8/12
105,F,N,8/9/12,5,8/8/12
105,F,N,8/9/12,3,8/8/12
105,F,N,11/15/12,O,11/28/12
107,F,N,12/30/02,1,1/10/12
107,F,N,12/30/02,1,1/10/12
107,F,N,2/26/07,O,12/3/12
107,F,N,3/1/12,U,3/6/12
107,F,N,3/14/12,U,6/12/12
107,F,N,3/27/12,U,4/4/12
107,F,N,4/24/12,U,5/11/12
107,F,N,5/21/12,U,5/21/12
107,F,N,6/29/12,U,7/10/12
107,F,N,9/24/12,U,9/24/12
107,F,N,11/9/12,U,11/9/12
107,F,N,11/13/12,U,11/16/12
107,F,N,11/29/12,U,11/29/12
109,F,N,11/3/11,O,2/28/12
109,F,N,3/1/12,5,3/1/12
109,F,N,3/1/12,5,3/1/12
109,F,N,3/1/12,5,3/1/12
109,F,N,3/1/12,5,3/1/12
109,F,N,3/1/12,5,3/1/12
109,F,N,3/1/12,5,3/1/12
109,F,N,3/1/12,5,3/1/12
109,F,N,3/1/12,5,3/1/12
109,F,N,4/23/12,O,4/26/12
109,F,N,7/17/12,5,7/17/12
109,F,N,7/17/12,O,7/17/12
109,F,N,8/23/12,4,8/23/12
109,F,N,11/26/12,6,11/27/12
113,F,N,1/4/12,O,2/23/12
113,F,N,1/4/12,5,2/23/12
121,F,N,5/15/12,5,5/16/12
121,F,N,10/4/12,O,10/4/12
127,F,N,12/26/12,U,12/26/12
135,F,N,1/27/12,3,2/1/12
135,F,N,1/27/12,3,2/1/12
135,F,N,2/27/12,O,3/14/12
135,F,N,6/12/12,1,6/13/12
135,F,N,8/27/12,6,8/29/12
135,F,N,9/4/12,2,9/5/12
135,F,N,9/4/12,2,9/5/12
135,F,N,9/4/12,2,9/5/12
135,F,N,9/24/12,6,10/10/12
137,F,N,11/7/12,6,12/19/12
139,F,N,3/8/12,O,3/8/12
139,F,N,3/26/12,O,5/10/12
139,F,N,4/18/12,6,11/1/12
139,F,N,8/27/12,5,10/25/12
145,F,N,12/16/11,4,2/17/12
153,F,N,7/14/08,O,1/17/12
153,F,N,8/19/11,5,10/15/12
153,F,N,10/11/11,O,2/22/12
153,F,N,10/11/11,O,2/22/12
153,F,N,10/11/11,6,2/22/12
153,F,N,10/31/11,5,1/11/12
153,F,N,11/18/11,6,4/10/12
153,F,N,11/29/11,O,4/20/12
153,F,N,12/7/11,O,1/17/12
153,F,N,12/19/11,6,2/8/12
153,F,N,12/21/11,6,4/10/12
153,F,N,12/21/11,6,4/10/12
153,F,N,1/3/12,5,5/4/12
153,F,N,1/17/12,U,1/27/12
153,F,N,1/17/12,U,1/17/12
153,F,N,1/23/12,6,3/15/12
153,F,N,1/30/12,O,2/23/12
153,F,N,2/10/12,6,3/27/12
153,F,N,2/23/12,O,4/10/12
153,F,N,2/24/12,O,4/10/12
153,F,N,3/1/12,O,4/10/12
153,F,N,3/5/12,5,7/20/12
153,F,N,3/5/12,6,7/20/12
153,F,N,3/5/12,O,7/20/12
153,F,N,3/7/12,6,4/5/12
153,F,N,3/27/12,5,8/24/12
153,F,N,4/4/12,O,4/4/12
153,F,N,4/4/12,O,4/4/12
153,F,N,4/4/12,O,4/4/12
153,F,N,4/4/12,O,4/4/12
153,F,N,4/11/12,U,6/7/12
