FIPS,CASE_TYPE,ATTORNEY_TYPE,FILE_DATE,OFFENSE_CLASS_CODE,FINAL_DISP_DATE
3,F,N,3/31/14,6,3/31/14
9,F,N,2/24/14,O,4/3/14
11,F,N,5/29/14,5,7/30/14
13,F,N,3/4/13,6,6/10/14
13,F,N,10/7/13,5,5/2/14
13,F,N,12/12/13,O,1/23/14
13,F,N,12/23/13,U,1/10/14
13,F,N,12/23/13,6,4/17/14
13,F,N,12/23/13,6,4/17/14
13,F,N,12/23/13,6,4/17/14
13,F,N,1/2/14,2,1/2/14
13,F,N,1/2/14,2,1/2/14
13,F,N,1/2/14,2,1/2/14
13,F,N,1/27/14,U,2/3/14
13,F,N,2/21/14,U,3/4/14
13,F,N,3/4/14,U,3/11/14
13,F,N,3/28/14,6,6/17/14
13,F,N,4/3/14,U,4/9/14
13,F,N,5/5/14,6,6/23/14
13,F,N,5/20/14,U,5/20/14
13,F,N,6/2/14,U,6/4/14
13,F,N,6/9/14,O,6/9/14
13,F,N,6/18/14,U,6/18/14
13,F,N,7/1/14,U,8/1/14
13,F,N,7/9/14,O,9/24/14
13,F,N,7/29/14,U,8/8/14
13,F,N,8/11/14,U,8/19/14
13,F,N,8/13/14,U,9/12/14
13,F,N,10/6/14,U,12/5/14
13,F,N,10/17/14,U,10/24/14
13,F,N,10/21/14,U,10/22/14
13,F,N,10/27/14,U,11/3/14
13,F,N,11/3/14,U,11/5/14
13,F,N,11/18/14,U,11/18/14
13,F,N,12/19/14,U,12/29/14
21,F,N,7/23/14,U,8/20/14
23,F,N,2/24/14,U,2/24/14
23,F,N,3/20/14,,4/18/14
23,F,N,11/20/14,U,11/21/14
35,F,N,6/30/14,6,7/1/14
35,F,N,8/8/14,6,8/8/14
35,F,N,8/8/14,6,8/8/14
35,F,N,8/15/14,6,8/22/14
35,F,N,10/24/14,U,10/24/14
37,F,N,3/4/14,6,3/6/14
41,F,N,9/9/13,U,4/10/14
41,F,N,12/30/13,6,3/7/14
41,F,N,3/28/14,U,5/14/14
41,F,N,4/23/14,5,9/3/14
41,F,N,5/22/14,,9/2/14
41,F,N,5/29/14,O,5/30/14
41,F,N,10/28/14,6,10/28/14
43,F,N,6/10/14,5,7/17/14
43,F,N,7/8/14,U,7/9/14
47,F,N,3/17/14,5,6/16/14
47,F,N,4/7/14,5,6/11/14
47,F,N,4/15/14,6,5/21/14
47,F,N,7/8/14,O,8/25/14
51,F,N,3/31/14,U,4/29/14
51,F,N,5/14/14,U,5/20/14
51,F,N,8/4/14,6,8/5/14
59,F,N,6/18/13,5,6/12/14
59,F,N,6/25/13,6,6/17/14
59,F,N,2/11/14,6,2/12/14
59,F,N,6/30/14,6,8/19/14
59,F,N,7/14/14,6,9/23/14
59,F,N,8/4/14,6,8/13/14
59,F,N,8/5/14,6,8/13/14
59,F,N,9/8/14,6,12/9/14
61,F,N,5/29/14,O,10/16/14
61,F,N,5/29/14,O,10/16/14
65,F,N,5/29/14,4,7/22/14
69,F,N,10/11/13,5,4/29/14
69,F,N,11/1/13,5,2/11/14
69,F,N,4/29/14,6,4/29/14
69,F,N,6/4/14,O,10/28/14
69,F,N,7/7/14,5,12/23/14
69,F,N,7/16/14,O,11/18/14
69,F,N,7/21/14,U,9/12/14
71,F,N,6/13/14,O,6/24/14
77,F,N,6/19/14,O,6/23/14
83,F,N,9/3/14,5,9/8/14
